0xf84263,0x27afcb,0x16f3dd,0x15ab7e,0xea5a44
0xd2c361,0x239d34,0xea36e0,0x8e7c9,0xec5326
0xf4bb3,0xf26670,0x6fa68,0x1977fb,0xe18e23
0xfb72e0,0x55bcf,0x8cfeb,0xea4d33,0xe40546
0xe4dac5,0x177f64,0x772bb,0x95271,0xf552a8
0xf312c5,0x6eaa0,0x1abeed,0x478d8,0xfa8c67
0x79fa0,0xa38f0,0xf988a7,0xe8a86b,0xe345b2
0x147927,0xf5bfa,0xf8332c,0xf56b31,0x93569
0xbbff3,0xf36855,0x99bd8,0x1595fa,0xee206d
0x132eb8,0x1bbcfe,0x757d0,0x11de9b,0x193cb1
0xf245a0,0xe6922f,0x1bf8e8,0x3478d,0xe16561
0x14ffdb,0xbfe6b,0x13f1ff,0x1c76bb,0x12cdfa
0x48e99,0xffeb4,0xfa6344,0xf0ae12,0xf04050
0x37c00,0x1732ed,0x77354,0xf85699,0xfb284a
0xf05646,0xf4d3a,0xe2d14d,0x9ef51,0x3a66c
0x1dbb7a,0xe244a6,0xe2a9a2,0x25bbfa,0xe8d8a2
